phrase ids|sentiment values
0|0.5
1|0.5
2|0.44444
3|0.5
4|0.42708
5|0.375
6|0.41667
7|0.54167
8|0.33333
9|0.45833
10|0.47222
11|0.59722
12|0.33333
13|0.93056
14|0.80556
15|0.81944
16|0.76389
17|0.5
18|0.5
19|0.69444
20|0.5
21|0.75
22|0.29167
23|0.31944
24|0.73611
25|0.77778
26|0.59722
27|0.58333
28|0.68056
29|0.48611
30|0.52778
31|0.23611
32|0.29167
33|0.56944
34|0.375
35|0.47222
36|0.29167
37|0.375
38|0.30556
39|0.52778
40|0.18056
41|0.61111
42|0.59722
43|0.72222
44|0.33333
45|0.52778
46|0.40278
47|0.22222
48|0.31944
49|0.29167
50|0.66667
51|0.61111
52|0.43056
53|0.77778
54|0.40278
55|0.55556
56|0.55556
57|0.76389
58|0.18056
59|0.43056
60|0.36111
61|0.47222
62|0.33333
63|0.31944
64|0.5
65|0.48611
66|0.33333
67|0.25
68|0.30556
69|0.5
70|0.5
71|0.69444
72|0.52778
73|0.66667
74|0.5
75|0.51389
76|0.44444
77|0.55556
78|0.5
79|0.34722
80|0.30556
81|0.5
82|0.26389
83|0.29167
84|0.5
85|0.5
86|0.72222
87|0.61111
88|0.76389
89|0.77778
90|0.5
91|0.5
92|0.5
93|0.44444
94|0.54167
95|0.5
96|0.45833
97|0.5
98|0.5
99|0.5
100|0.65278
101|0.54167
102|0.69444
103|0.77778
104|0.13889
105|0.055556
106|0.22222
107|0.19444
108|0.5
109|0.54167
110|0.66667
111|0.69444
112|0.77778
113|0.84722
114|0.58333
115|0.069444
116|0.54167
117|0.63889
118|0.38889
119|0.93056
120|0.77778
121|0.77778
122|0.88889
123|0.83333
124|0.875
125|0.52778
126|0.52778
127|0.5
128|0.55556
129|0.55556
130|0.77778
131|0.63889
132|0.30556
133|0.47222
134|0.45833
135|0.44444
136|0.55556
137|0.61111
138|0.55556
139|0.5
140|0.45833
141|0.72222
142|0.61111
143|0.72222
144|0.625
145|0.65278
146|0.63889
147|0.77778
148|0.75
149|0.30556
150|0.33333
151|0.19444
152|0.29167
153|0.66667
154|0.69444
155|0.31944
156|0.29167
157|0.19444
158|0.38889
159|0.25
160|0.16667
161|0.5
162|0.5
163|0.55556
164|0.875
165|0.63889
166|0.65278
167|0.70833
168|0.59722
169|0.56944
170|0.61111
171|0.77778
172|0.66667
173|0.69444
174|0.63889
175|0.80556
176|0.83333
177|0.77778
178|0.66667
179|0.69444
180|0.83333
181|0.93056
182|0.76389
183|0.77778
184|0.5
185|0.5
186|0.5
187|0.56944
188|0.52778
189|0.55556
190|0.5
191|0.52778
192|0.47222
193|0.625
194|0.54167
195|0.5
196|0.19444
197|0.44444
198|0.375
199|0.61111
200|0.70833
201|0.65278
202|0.77778
203|0.80556
204|0.5
205|0.27778
206|0.33333
207|0.34722
208|0.55556
209|0.66667
210|0.5
211|0.5
212|0.29167
213|0.20833
214|0.5
215|0.5
216|0.38889
217|0.29167
218|0.52778
219|0.29167
220|0.38889
221|0.18056
222|0.20833
223|0.41667
224|0.27778
225|0.43056
226|0.72222
227|0.94444
228|0.86111
229|0.81944
230|0.88889
231|0.77778
232|0.68056
233|0.77778
234|0.66667
235|0.80556
236|0.52778
237|0.69444
238|0.51389
239|0.27778
240|0.375
241|0.36111
242|0.56944
243|0.33333
244|0.47222
245|0.41667
246|0.23611
247|0.25
248|0.33333
249|0.48611
250|0.55556
251|0.56944
252|0.54167
253|0.45833
254|0.5
255|0.40278
256|0.41667
257|0.26389
258|0.56944
259|0.15278
260|0.44444
261|0.58333
262|0.43056
263|0.55556
264|0.375
265|0.66667
266|0.80556
267|0.76389
268|0.79167
269|0.70833
270|0.63889
271|0.40278
272|0.375
273|0.625
274|0.59722
275|0.5
276|0.40278
277|0.65278
278|0.80556
279|0.81944
280|0.68056
281|0.44444
282|0.47222
283|0.70833
284|0.73611
285|0.83333
286|0.81944
287|0.59722
288|0.73611
289|0.73611
290|0.73611
291|0.52778
292|0.875
293|0.93056
294|0.76389
295|0.36111
296|0.55556
297|0.61111
298|0.5
299|0.5
300|0.5
301|0.55556
302|0.34722
303|0.63889
304|0.90278
305|0.5
306|0.56944
307|0.5
308|0.44444
309|0.55556
310|0.56944
311|0.69444
312|0.54167
313|0.43056
314|0.5
315|0.52778
316|0.375
317|0.36111
318|0.72222
319|0.20833
320|0.22222
321|0.55556
322|0.51389
323|0.5
324|0.55556
325|0.56944
326|0.5
327|0.61111
328|0.54167
329|0.30556
330|0.33333
331|0.38889
332|0.5
333|0.59722
334|0.77778
335|0.81944
336|0.63889
337|0.69444
338|0.47222
339|0.54167
340|0.44444
341|0.19444
342|0.11111
343|0.61111
344|0.47222
345|0.5
346|0.40278
347|0.66667
348|0.30556
349|0.47222
350|0.5
351|0.5
352|0.5
353|0.44444
354|0.31944
355|0.52778
356|0.56944
357|0.5
358|0.52778
359|0.5
360|0.77778
361|0.44444
362|0.625
363|0.5
364|0.55556
365|0.66667
366|0.5
367|0.5
368|0.33333
369|0.5
370|0.47222
371|0.54167
372|0.79167
373|0.61111
374|0.51389
375|0.54167
376|0.54167
377|0.72222
378|0.47222
379|0.48611
380|0.33333
381|0.73611
382|0.55556
383|0.70833
384|0.5
385|0.31944
386|0.38889
387|0.72222
388|0.625
389|0.65278
390|0.625
391|0.54167
392|0.72222
393|0.73611
394|0.81944
395|0.5
396|0.27778
397|0.73611
398|0.69444
399|0.51389
400|0.41667
401|0.58333
402|0.52778
403|0.51389
404|0.19444
405|0.19444
406|0.27778
407|0.44444
408|0.5
409|0.5
410|0.81944
411|0.55556
412|0.56944
413|0.66667
414|0.5
415|0.44444
416|0.54167
417|0.55556
418|0.48611
419|0.5
420|0.48611
421|0.5
422|0.5
423|0.52778
424|0.5
425|0.55556
426|0.38889
427|0.51389
428|0.5
429|0.77778
430|0.5
431|0.77778
432|0.5
433|0.65278
434|0.75
435|0.5
436|0.5
437|0.23611
438|0.375
439|0.55556
440|0.63889
441|0.70833
442|0.70833
443|0.34722
444|0.33333
445|0.18056
446|0.44444
447|0.69444
448|0.47222
449|0.55556
450|0.43056
451|0.80556
452|0.83333
453|0.66667
454|0.83333
455|0.76389
456|0.73611
457|0.48611
458|0.38889
459|0.79167
460|0.59722
461|0.54167
462|0.5
463|0.97222
464|0.625
465|0.54167
466|0.5
467|0.51389
468|0.5
469|0.5
470|0.34722
471|0.48611
472|0.5
473|0.54167
474|0.72222
475|0.44444
476|0.44444
477|0.44444
478|0.55556
479|0.40278
480|0.5
481|0.38889
482|0.5
483|0.52778
484|0.79167
485|0.16667
486|0.68056
487|0.77778
488|0.56944
489|0.5
490|0.45833
491|0.40278
492|0.52778
493|0.51389
494|0.51389
495|0.51389
496|0.47222
497|0.33333
498|0.77778
499|0.79167
500|0.66667
501|0.48611
502|0.63889
503|0.54167
504|0.55556
505|0.72222
506|0.56944
507|0.56944
508|0.75
509|0.44444
510|0.25
511|0.5
512|0.51389
513|0.58333
514|0.52778
515|0.52778
516|0.52778
517|0.5
518|0.86111
519|0.55556
520|0.55556
521|0.51389
522|0.5
523|0.5
524|0.5
525|0.51389
526|0.61111
527|0.44444
528|0.41667
529|0.48611
530|0.45833
531|0.29167
532|0.25
533|0.19444
534|0.30556
535|0.43056
536|0.43056
537|0.125
538|0.77778
539|0.44444
540|0.36111
541|0.26389
542|0.27778
543|0.44444
544|0.30556
545|0.43056
546|0.54167
547|0.5
548|0.16667
549|0.51389
550|0.097222
551|0.47222
552|0.61111
553|0.77778
554|0.13889
555|0.5
556|0.55556
557|0.69444
558|0.34722
559|0.18056
560|0.5
561|0.52778
562|0.56944
563|0.58333
564|0.5
565|0.55556
566|0.76389
567|0.77778
568|0.5
569|0.58333
570|0.47222
571|0.40278
572|0.58333
573|0.5
574|0.63889
575|0.5
576|0.5
577|0.22222
578|0.5
579|0.51389
580|0.47222
581|0.5
582|0.56944
583|0.51389
584|0.30556
585|0.33333
586|0.5
587|0.5
588|0.51389
589|0.22222
590|0.52778
591|0.5
592|0.69444
593|0.72222
594|0.55556
595|0.625
596|0.56944
597|0.80556
598|0.83333
599|0.5
600|0.375
601|0.5
602|0.11111
603|0.5
604|0.16667
605|0.51389
606|0.5
607|0.5
608|0.31944
609|0.29167
610|0.31944
611|0.25
612|0.47222
613|0.29167
614|0.40278
615|0.26389
616|0.43056
617|0.5
618|0.44444
619|0.55556
620|0.51389
621|0.5
622|0.5
623|0.43056
624|0.43056
625|0.61111
626|0.5
627|0.59722
628|0.54167
629|0.5
630|0.69444
631|0.76389
632|0.75
633|0.75
634|0.97222
635|0.5
636|0.52778
637|0.44444
638|0.5
639|0.13889
640|0.5
641|0.48611
642|0.5
643|0.5
644|0.16667
645|0.69444
646|0.69444
647|0.68056
648|0.44444
649|0.5
650|0.44444
651|0.38889
652|0.44444
653|0.72222
654|0.45833
655|0.11111
656|0.44444
657|0.59722
658|0.5
659|0.18056
660|0.5
661|0.56944
662|0.16667
663|0.5
664|0.55556
665|0.5
666|0.43056
667|0.69444
668|0.5
669|0.56944
670|0.58333
671|0.30556
672|0.30556
673|0.36111
674|0.75
675|0.5
676|0.5
677|0.44444
678|0.36111
679|0.5
680|0.55556
681|0.5
682|0.47222
683|0.5
684|0.77778
685|0.66667
686|0.22222
687|0.45833
688|0.41667
689|0.38889
690|0.90278
691|0.54167
692|0.5
693|0.58333
694|0.83333
695|0.83333
696|0.5
697|0.61111
698|0.5
699|0.63889
700|0.55556
701|0.5
702|0.75
703|0.44444
704|0.68056
705|0.55556
706|0.63889
707|0.73611
708|0.73611
709|0.5
710|0.5
711|0.80556
712|0.5
713|0.5
714|0.58333
715|0.5
716|0.47222
717|0.56944
718|0.54167
719|0.51389
720|0.70833
721|0.65278
722|0.5
723|0.73611
724|0.63889
725|0.875
726|0.38889
727|0.44444
728|0.61111
729|0.48611
730|0.5
731|0.26389
732|0.48611
733|0.25
734|0.56944
735|0.59722
736|0.5
737|0.30556
738|0.5
739|0.40278
740|0.33333
741|0.73611
742|0.83333
743|0.11111
744|0.18056
745|0.43056
746|0.55556
747|0.5
748|0.44444
749|0.38889
750|0.69444
751|0.625
752|0.70833
753|0.5
754|0.44444
755|0.51389
756|0.375
757|0.48611
758|0.38889
759|0.38889
760|0.52778
761|0.625
762|0.51389
763|0.83333
764|0.79167
765|0.875
766|0.73611
767|0.81944
768|0.76389
769|0.93056
770|0.5
771|0.45833
772|0.41667
773|0.72222
774|0.52778
775|0.5
776|0.61111
777|0.59722
778|0.76389
779|0.66667
780|0.65278
781|0.77778
782|0.625
783|0.91667
784|0.54167
785|0.56944
786|0.59722
787|0.90278
788|0.83333
789|0.27778
790|0.38889
791|0.5
792|0.51389
793|0.58333
794|0.5
795|0.52778
796|0.52778
797|0.44444
798|0.76389
799|0.76389
800|0.375
801|0.38889
802|0.44444
803|0.44444
804|0.5
805|0.33333
806|0.61111
807|0.44444
808|0.13889
809|0.30556
810|0.43056
811|0.5
812|0.38889
813|0.5
814|0.54167
815|0.5
816|0.5
817|0.5
818|0.31944
819|0.31944
820|0.43056
821|0.40278
822|0.33333
823|0.43056
824|0.43056
825|0.44444
826|0.40278
827|0.47222
828|0.5
829|0.42361
830|0.56944
831|0.44444
832|0.5
833|0.55556
834|0.76389
835|0.81944
836|0.63889
837|0.51389
838|0.30556
839|0.40278
840|0.68056
841|0.43056
842|0.44444
843|0.5
844|0.45833
845|0.18056
846|0.375
847|0.29167
848|0.38889
849|0.66667
850|0.48611
851|0.5
852|0.55556
853|0.69444
854|0.77778
855|0.36111
856|0.5
857|0.36111
858|0.26389
859|0.055556
860|0.51389
861|0.66667
862|0.5
863|0.5
864|0.55556
865|0.61111
866|0.52778
867|0.55556
868|0.52778
869|0.55556
870|0.52778
871|0.5
872|0.52778
873|0.5
874|0.5
875|0.5
876|0.13889
877|0.27778
878|0.36111
879|0.51389
880|0.51389
881|0.38889
882|0.73611
883|0.48611
884|0.44444
885|0.27778
886|0.61111
887|0.65278
888|0.81944
889|0.76389
890|0.65278
891|0.86111
892|0.75
893|0.86111
894|0.16667
895|0.80556
896|0.52778
897|0.77778
898|0.52778
899|0.52778
900|0.43056
901|0.48611
902|0.375
903|0.29167
904|0.25
905|0.73611
906|0.69444
907|0.52778
908|0.5
909|0.61111
910|0.5
911|0.5
912|0.5
913|0.30556
914|0.5
915|0.55556
916|0.5
917|0.5
918|0.52778
919|0.54167
920|0.5
921|0.5
922|0.22222
923|0.56944
924|0.5
925|0.5
926|0.55556
927|0.54167
928|0.16667
929|0.5
930|0.5
931|0.56944
932|0.55556
933|0.625
934|0.5
935|0.81944
936|0.5
937|0.55556
938|0.52778
939|0.5
940|0.43056
941|0.375
942|0.52778
943|0.66667
944|0.75
945|0.52778
946|0.44444
947|0.51389
948|0.34722
949|0.23611
950|0.55556
951|0.55556
952|0.66667
953|0.65278
954|0.63889
955|0.5
956|0.36111
957|0.76389
958|0.56944
959|0.76389
960|0.79167
961|0.625
962|0.20833
963|0.63889
964|0.77778
965|0.22222
966|0.51389
967|0.5
968|0.52778
969|0.44444
970|0.5
971|0.5
972|0.63889
973|0.5
974|0.54167
975|0.66667
976|0.5
977|0.5
978|0.5
979|0.43056
980|0.31944
981|0.51389
982|0.54167
983|0.76389
984|0.5
985|0.44444
986|0.41667
987|0.77778
988|0.19444
989|0.27778
990|0.22222
991|0.55556
992|0.72222
993|0.55556
994|0.5
995|0.5
996|0.34722
997|0.5
998|0.5
999|0.5
1000|0.5
1001|0.5
1002|0.54167
1003|0.63889
1004|0.47222
1005|0.30556
1006|0.43056
1007|0.38889
1008|0.56944
1009|0.41667
1010|0.54167
1011|0.43056
1012|0.125
1013|0.5
1014|0.55556
1015|0.66667
1016|0.52778
1017|0.54167
1018|0.22222
1019|0.72222
1020|0.27778
1021|0.51389
1022|0.58333
1023|0.66667
1024|0.5
1025|0.65278
1026|0.52778
1027|0.55556
1028|0.33333
1029|0.20833
1030|0.5
1031|0.48611
1032|0.5
1033|0.51389
1034|0.51389
1035|0.66667
1036|0.5
1037|0.81944
1038|0.65278
1039|0.52778
1040|0.40278
1041|0.51389
1042|0.19444
1043|0.375
1044|0.54167
1045|0.26389
1046|0.81944
1047|0.88889
1048|0.77778
1049|0.34722
1050|0.27778
1051|0.45833
1052|0.27778
1053|0.58333
1054|0.5
1055|0.30556
1056|0.30556
1057|0.38889
1058|0.41667
1059|0.61111
1060|0.83333
1061|0.5
1062|0.5
1063|0.5
1064|0.54167
1065|0.61111
1066|0.5
1067|0.875
1068|0.84722
1069|0.61111
1070|0.48611
1071|0.5
1072|0.27778
1073|0.40278
1074|0.52778
1075|0.51389
1076|0.33333
1077|0.43056
1078|0.5
1079|0.5
1080|0.51389
1081|0.72222
1082|0.81944
1083|0.43056
1084|0.45833
1085|0.5
1086|0.43056
1087|0.5
1088|0.63889
1089|0.5
1090|0.5
1091|0.54167
1092|0.73611
1093|0.73611
1094|0.77778
1095|0.72222
1096|0.52778
1097|0.70833
1098|0.56944
1099|0.77778
1100|0.63889
1101|0.44444
1102|0.69444
1103|0.91667
1104|0.81944
1105|0.94444
1106|0.75
1107|0.625
1108|0.61111
1109|0.23611
1110|0.41667
1111|0.52778
1112|0.80556
1113|0.73611
1114|0.48611
1115|0.68056
1116|0.65278
1117|0.66667
1118|0.5
1119|0.66667
1120|0.58333
1121|0.5
1122|0.5
1123|0.5
1124|0.45833
1125|0.5
1126|0.47222
1127|0.43056
1128|0.61111
1129|0.26389
1130|0.63889
1131|0.5
1132|0.5
1133|0.48611
1134|0.43056
1135|0.52778
1136|0.48611
1137|0.38889
1138|0.5
1139|0.44444
1140|0.55556
1141|0.52778
1142|0.61111
1143|0.86111
1144|0.55556
1145|0.81944
1146|0.43056
1147|0.65278
1148|0.58333
1149|0.47222
1150|0.5
1151|0.52083
1152|0.34722
1153|0.33333
1154|0.76389
1155|0.38889
1156|0.77778
1157|0.36111
1158|0.40278
1159|0.80556
1160|0.5
1161|0.52778
1162|0.40278
1163|0.61111
1164|0.88889
1165|0.30556
1166|0.34722
1167|0.625
1168|0.5
1169|0.5
1170|0.40278
1171|0.375
1172|0.76389
1173|0.5
1174|0.30556
1175|0.54167
1176|0.52778
1177|0.61111
1178|0.69444
1179|0.5
1180|0.5
1181|0.61111
1182|0.73611
1183|0.52778
1184|0.56944
1185|0.84722
1186|0.63889
1187|0.5
1188|0.5
1189|0.59722
1190|0.80556
1191|0.61111
1192|0.25
1193|0.54167
1194|0.55556
1195|0.58333
1196|0.51389
1197|0.5
1198|0.5
1199|0.51389
1200|0.5
1201|0.54167
1202|0.38889
1203|0.5
1204|0.69444
1205|0.41667
1206|0.68056
1207|0.51389
1208|0.5
1209|0.51389
1210|0.44444
1211|0.44444
1212|0.34722
1213|0.38889
1214|0.61111
1215|0.70833
1216|0.59722
1217|0.40278
1218|0.055556
1219|0.83333
1220|0.58333
1221|0.5
1222|0.055556
1223|0.5
1224|0.38889
1225|0.55556
1226|0.5
1227|0.5
1228|0.48611
1229|0.55556
1230|0.55556
1231|0.5
1232|0.5
1233|0.58333
1234|0.68056
1235|0.61111
1236|0.5
1237|0.5
1238|0.70833
1239|0.875
1240|0.625
1241|0.58333
1242|0.58333
1243|0.61111
1244|0.61111
1245|0.625
1246|0.81944
1247|0.44444
1248|0.58333
1249|0.5
1250|0.55556
1251|0.56944
1252|0.44444
1253|0.44444
1254|0.31944
1255|0.31944
1256|0.22222
1257|0.22222
1258|0.19444
1259|0.19444
1260|0.77778
1261|0.55556
1262|0.65278
1263|0.72222
1264|0.36111
1265|0.23611
1266|0.55556
1267|0.45833
1268|0.36111
1269|0.5
1270|0.75
1271|0.63889
1272|0.80556
1273|0.36111
1274|0.58333
1275|0.16667
1276|0.11111
1277|0.5
1278|0.55556
1279|0.5
1280|0.55556
1281|0.29167
1282|0.58333
1283|0.36111
1284|0.22222
1285|0.5
1286|0.47222
1287|0.47222
1288|0.11111
1289|0.55556
1290|0.55556
1291|0.083333
1292|0.47222
1293|0.5
1294|0.5
1295|0.61111
1296|0.75
1297|0.54167
1298|0.66667
1299|0.56944
1300|0.20833
1301|0.58333
1302|0.27778
1303|0.56944
1304|0.52778
1305|0.52778
1306|0.31944
1307|0.38889
1308|0.51389
1309|0.68056
1310|0.52778
1311|0.38889
1312|0.5
1313|0.66667
1314|0.61111
1315|0.55556
1316|0.61111
1317|0.63889
1318|0.54167
1319|0.54167
1320|0.5625
1321|0.55556
1322|0.59722
1323|0.44444
1324|0.44444
1325|0.5
1326|0.52778
1327|0.5
1328|0.58333
1329|0.5
1330|0.5
1331|0.52778
1332|0.5
1333|0.72222
1334|0.69444
1335|0.22222
1336|0.51389
1337|0.48611
1338|0.40278
1339|0.36111
1340|0.5
1341|0.55556
1342|0.5
1343|0.72222
1344|0.41667
1345|0.55556
1346|0.5
1347|0.51389
1348|0.52778
1349|0.73611
1350|0.38889
1351|0.47222
1352|0.5
1353|0.72222
1354|0.69444
1355|0.76389
1356|0.54167
1357|0.65278
1358|0.5
1359|0.23611
1360|0.52778
1361|0.375
1362|0.38889
1363|0.40278
1364|0.27778
1365|0.33333
1366|0.40278
1367|0.58333
1368|0.72222
1369|0.30556
1370|0.45833
1371|0.45833
1372|0.77778
1373|0.76389
1374|0.45833
1375|0.88889
1376|0.56944
1377|0.72222
1378|0.76389
1379|0.5
1380|0.80556
1381|0.5
1382|0.52778
1383|0.48611
1384|0.33333
1385|0.83333
1386|0.625
1387|0.68056
1388|0.11111
1389|0.51389
1390|0.83333
1391|0.86111
1392|0.97222
1393|0.56944
1394|0.40278
1395|0.38889
1396|0.22222
1397|0.40278
1398|0.51389
1399|0.72222
1400|0.59722
1401|0.51389
1402|0.70833
1403|0.30556
1404|0.59722
1405|0.19444
1406|0.45833
1407|0.83333
1408|0.34722
1409|0.70833
1410|0.90278
1411|0.43056
1412|0.69444
1413|0.63889
1414|0.58333
1415|0.55556
1416|0.47222
1417|0.66667
1418|0.30556
1419|0.23611
1420|0.5
1421|0.52778
1422|0.19444
1423|0.18056
1424|0.33333
1425|0.625
1426|0.68056
1427|0.625
1428|0.66667
1429|0.54167
1430|0.38889
1431|0.15278
1432|0.30556
1433|0.43056
1434|0.66667
1435|0.15278
1436|0.15278
1437|0.33333
1438|0.54167
1439|0.45833
1440|0.73611
1441|0.77778
1442|0.5
1443|0.36111
1444|0.80556
1445|0.93056
1446|0.83333
1447|0.83333
1448|0.86111
1449|0.90278
1450|0.30556
1451|0.19444
1452|0.625
1453|0.15278
1454|0.19444
1455|0.26389
1456|0.20833
1457|0.56944
1458|0.68056
1459|0.36111
1460|0.41667
1461|0.36111
1462|0.65278
1463|0.73611
1464|0.59722
1465|0.375
1466|0.38889
1467|0.81944
1468|0.41667
1469|0.72222
1470|0.69444
1471|0.625
1472|0.56944
1473|0.76389
1474|0.69444
1475|0.75
1476|0.59722
1477|0.43056
1478|0.52778
1479|0.45833
1480|0.34722
1481|0.72222
1482|0.80556
1483|0.65278
1484|0.125
1485|0.625
1486|0.80556
1487|0.23611
1488|0.36111
1489|0.44444
1490|0.79167
1491|0.55556
1492|0.75
1493|0.25
1494|0.55556
1495|0.5
1496|0.48611
1497|0.375
1498|0.33333
1499|0.34722
1500|0.27778
1501|0.375
1502|0.52778
1503|0.51389
1504|0.56944
1505|0.5
1506|0.44444
1507|0.45833
1508|0.56944
1509|0.58333
1510|0.5
1511|0.625
1512|0.51389
1513|0.22222
1514|0.44444
1515|0.5
1516|0.51389
1517|0.5
1518|0.51389
1519|0.52778
1520|0.31944
1521|0.5
1522|0.5
1523|0.52778
1524|0.38889
1525|0.59722
1526|0.55556
1527|0.5
1528|0.27778
